indice,unidade,link,cod_pdf
01,Presidência,https://formularios-corregedoria.cnj.jus.br/gf-entries-in-excel/a9f8cfbb510d4d083f7556635b589e9b3d6a6825faa887deb531376916e4f152,65270dab80304
02,Vice-Presidência,https://formularios-corregedoria.cnj.jus.br/gf-entries-in-excel/b54ae60a0c8b63a87519950dba7db32553bfef035494d268dec113307bc478a2,65270e3454ce2
03,Presidência Sessões,https://formularios-corregedoria.cnj.jus.br/gf-entries-in-excel/013a02c4de655e770a1ad192ece1c19f58bde0c390878352b20210fc888a3cc7,65270edd68479
04,Gabinete de Desembargador,https://formularios-corregedoria.cnj.jus.br/gf-entries-in-excel/cef187e1877f1e1d1152a33501112d4965df25e4859dcb0ad31a71fb17b979c7,65270f2475acd
05,Gabinete de Desembargador Presidente,https://formularios-corregedoria.cnj.jus.br/gf-entries-in-excel/3ea7f2c2c9af91aa287dd18cb64ca72be47826b261ff19a2b6307e62a08e7a97,65270f77e965f
06,Gabinete de Desembargador Vice-Presidente,https://formularios-corregedoria.cnj.jus.br/gf-entries-in-excel/e9fb971194945914a52d4656396307cd2bae54181b035f7ab956a9eb1d945957,65270fc85fbd4
07,Corregedoria,https://formularios-corregedoria.cnj.jus.br/gf-entries-in-excel/43aaaea906989d1d37f642e414f79972474d6719eefe2be2f39af66832d859e5,6527100f143d4
08,Gabinete de Desembargador Corregedor,https://formularios-corregedoria.cnj.jus.br/gf-entries-in-excel/914c4f371feb1ccae80ae8ea41f997e08d7927d64c770ddb1d9501a3b289c131,663e764bdf295
09,Precatórios,https://formularios-corregedoria.cnj.jus.br/gf-entries-in-excel/f9f62b2355db70c89e1c03c1333351a6e808cf4d70517ce6e02f90e02631f6ef,6527104195a66
10,Outorga de Delegações de Notas e Registro e Listas de Vacâncias,https://formularios-corregedoria.cnj.jus.br/gf-entries-in-excel/75ab5e06291831ab2d82536fe85f47437158af25daaeb26ee1528de41dca2f67,652710d67fbd9
11,Secretárias Judiciárias-Processuais de 2º Grau,https://formularios-corregedoria.cnj.jus.br/gf-entries-in-excel/ad742bcf829b3c19b5c377d9fd5de50a51caf2599cf4e1fa4945e082dc86e727,6527108a86e59
12,Serventias Extrajudiciais,https://formularios-corregedoria.cnj.jus.br/gf-entries-in-excel/0fc3231cf80a1728f53b277ebd1e65147057c06cd8286dfabe1e9ad6a2edd117,6527117094bc0
13,Unidades de Primeiro Grau - Varas,https://formularios-corregedoria.cnj.jus.br/gf-entries-in-excel/9cab622fd61615d8695354e1ba14e5f6490e9262f7467a531636bd33ce988714,652711bd7e878
14,Unidades Administrativas,https://formularios-corregedoria.cnj.jus.br/gf-entries-in-excel/63fcdd9beab939baafd645abd4ccf53cc6ecf065ed934fa5876b650563d522a6,6527120b8514a
15,Tecnologia da Informação,https://formularios-corregedoria.cnj.jus.br/gf-entries-in-excel/75d8775dbe5c148c148e832a471e1f642ad59eec09b3e64b2eed9e0b974695f5,65147c4959bb9
